area,name,rating,total_rate
士林區,L'Atelier Nivernais 58,4.4,793
士林區,名廚料理會館,4.1,319
士林區,吉祥小館,4.2,657
士林區,Duomo Japanese Reataurant,4.4,1541
士林區,Taipei Grand Hotel Yuan Yuan Restaurant,4.3,966
士林區,漢來海港餐廳 天母店,4.1,4498
士林區,Quan Alley,4.6,1988
士林區,Wendel's Bakery & Bistro,4.5,2168
士林區,Le Flam 樂芙坊,4.5,769
士林區,佐藤精肉店 shilin,4.8,2662
士林區,胖鬣蜥(全預約制),4.5,131
士林區,天鍋宴芝山店 高CP值火鍋 芝山捷運美食 人氣火鍋餐廳 台北士林天母火鍋 台北士林天母美食 美食餐廳,4.6,1650
士林區,萬麗軒 Wan Li Restaurant - 台北士林萬麗酒店,4.5,623
士林區,豚馬日本料理,4.6,1266
士林區,Din Tai Fung Tianmu Restaurant,4.5,3218
士林區,Moda Vita Caff? Yi Cuisine,4.4,1058
士林區,讚鐵板燒 & 鮨 松濤日本料理,4.4,263
士林區,素之舖,4.5,87
士林區,愛披薩ipizza,4.4,594
士林區,明都大自然素食館,4.5,232
士林區,愛烤愛對囉 - 士林店,4.4,2251
士林區,丸山日式涮涮鍋 士林店-龍蝦火鍋 海鮮火鍋 和牛火鍋 CP值 必吃 特色火鍋 朋友家庭聚餐,4.5,540
士林區,天町燒肉屋(天鍋宴集團 天町芝山店高cp值芝山捷運美食 人氣燒肉餐廳 台北士林天母燒肉 台北士林天母美食 美食餐廳）,4.7,391
士林區,越鄉越南美食館,4.3,1738
士林區,Xuesheng Restaurant,3.9,35
士林區,洪樓小館,4.2,726
士林區,"歐品鄉廚-平實風義式田園餐桌(義大利麵,焗烤,蛋包飯,士林美食,士林餐廳,近士林官邸菊花展/士林夜市美食/故宮,五倍券）",4.1,995
士林區,Tainan Seafood and Lounge,4.1,3350
士林區,胃太小私房菜,4.2,1086
士林區,金山客家小館,4.2,780
士林區,Green kitchen 貳,4.1,599
士林區,omocaf?,4.1,626
士林區,怡香園時尚餐廳,3.8,133
士林區,Tianmu Szechuan Court 天母川菜廳,4,582
士林區,福興園川菜餐廳,4,394
士林區,可口越南美食,4.5,242
士林區,Miacucina,4.1,1877
士林區,Arirang Village Restaurant,4,687
士林區,大邱大叔（韓大叔）,4.2,895
士林區,Wonder.land 仙境,4,1107
士林區,丘比特小木屋早午晚餐,4.3,204
士林區,Yiyuan Seafood Restaurant,4.1,127
士林區,Bao Bao Bao,4.3,1978
士林區,漫果子桌遊主題餐廳士林店,4.1,196
中山區,Restaurant Page 頁小館,4.6,1144
中山區,RAW,4.3,2258
中山區,Tairroir,4.1,1126
中山區,Modern Toilet Theme Restaurant,4.6,1266
中山區,la FESTA義大利餐廳,4.1,242
中山區,Qing Ting Restaurant,4.3,213
中山區,Xi Garden,4.6,379
中山區,祥雲龍吟 RyuGin Taipei,4.6,479
中山區,Tutto Bello,4.4,669
中山區,La Mole Taipei,4.5,629
中山區,高朋海鮮餐廳,4.4,358
中山區,蒲月中式料理,4.3,184
中山區,GB Brewery Restaurant – Taipei DaZhi Store,4.3,488
中山區,HANA錵鐵板燒餐廳,4.3,1329
中山區,Glass of Red,4.6,91
中山區,老闆屬狗 So Good,4.4,263
中山區,Meili Restaurant,4.1,420
中山區,維多利亞酒店-東餐廳,4.3,48
中山區,漢來名人坊 台北大直店,4.5,339
中山區,戀戀日光/日光角落烘焙坊-民權店（健康飲食/親子與素食友善餐廳）,4.6,869
中山區,維多利亞酒店-東餐廳,4.3,48
中山區,KUMA,4.7,492
中山區,Gmt Italian Restaurant,4.4,573
中山區,潮粵坊港潮餐廳,4.4,608
中山區,一心鐵板燒,4.7,186
中山區,香樹花園酒店-綠園餐廳,3.9,37
中山區,漫果子桌遊主題餐廳-大直店,4.6,136
中山區,Chili's Grill & Bar 美式休閒餐廳 - 大直店,4.1,589
中山區,Mixiang Tai Cai Restaurant,4.1,565
中山區,Carino's Cafe&Bistro,4.4,9
中山區,Top Art 藝來餐廳,4,20
中山區,Buffalo American Restaurant BFLO,4.2,778
中山區,Le Flam 樂芙坊,4.5,769
中山區,戀戀日光/日光角落烘焙坊-民權店（健康飲食/親子與素食友善餐廳）,4.6,869
中山區,Taipei Grand Hotel Yuan Yuan Restaurant,4.3,966
中山區,好食多涮涮屋,4.7,5197
中山區,TGI FRIDAYS Miramar Restaurant,4.2,1729
中山區,紗汀娜好食,3.9,2914
中山區,Tr?sors de la mer,4.2,1832
中山區,Restaurant,4,20
中山區,漢來名人坊 台北大直店,4.5,339
中山區,LOPFAIT 樂斐,4.5,32
中山區,明福台菜海鮮,4.4,968
中山區,Paris 1930 de Hideki Takayama,4.6,300
中山區,天香樓 Tien Hsiang Lo,4.4,869
中山區,Fashion Bangkok,4.4,1844
中山區,雷蒙叔叔,4.1,1051
中山區,Mark's Teppanyaki At Taipei Marriott Hotel,4.4,441
中山區,Yan Ke Lou Dining Place,4.2,185
中山區,Osteria by Angie 大直店,4.1,760
中山區,名廚料理會館,4.1,319
中山區,ED's Diner美式BBQ燒烤餐館,4.3,1078
中山區,Palette,4.2,4084
中山區,Surah Dazhi,4,642
中山區,Shin Yeh Main Restaurant,4.2,4222
中山區,Addiction Aquatic Development,4.1,10000
中山區,馬友友印度廚房 - 大直 Mayur Indian Kitchen restaurant Dazhi (MiK-hi5),4.5,910
中山區,魚鄉屋湘菜餐廳,4.1,164
中山區,M?venpick Caf? Miramar Shop,4,763
中山區,Luo Western Restaurant,5,1
大同區,L'IDIOT RESTAURANT,4.5,2068
大同區,collective elements restaurant 健康餐廳/港式餐點/咖啡/下午茶/包場,4.7,270
大同區,梅子鰻蒲燒專賣店 Umeko Japanese Unagi Restaurant,4.4,1358
大同區,玉琢精緻料理(預約制)台北美食 台北餐廳 中山區美食 台北精緻料理 台北油封鴨 台北套餐,4.8,52
大同區,BangBang美式餐廳,4.5,314
大同區,Le Palais,4.4,1860
大同區,Bona 富光廚房,4.8,1286
大同區,Impromptu by Paul Lee,4.4,401
大同區,刀叉私廚商行,4.7,70
大同區,Hung Kan Yum-cha,4.4,4387
大同區,對話餐廳 DIR.Restaurant,4.4,70
大同區,翡冷翠義式餐廳,4.4,1743
大同區,Tutto Bello,4.4,669
大同區,Jiu Yue Dim Sum Restaurant,4.6,821
大同區,畢斯特美味廚房 義式餐廳,4.3,92
大同區,【完全預約制】WAING和? 葡萄酒餐酒館,4.4,307
大同區,WOW Bistro旺.慢食餐酒館-中山店/捷運中山站美食/中山站推薦餐廳/義大利麵/燉飯/牛排,4.6,1485
大同區,吃吧餐廳 chiba,4,640
大同區,高朋海鮮餐廳,4.4,358
大同區,拾食樸餐廳 Purie's Recipes,4.5,337
大同區,Le Palais,4.4,1860
